diameter(nm), reduced accessible volume
0.020000, 0.004313
0.060000, 0.005329
0.100000, 0.005971
0.140000, 0.006579
0.180000, 0.006994
0.220000, 0.007138
0.260000, 0.006098
0.300000, 0.005955
0.340000, 0.005759
0.380000, 0.005592
0.420000, 0.005222
0.460000, 0.005014
0.500000, 0.004773
0.540000, 0.004555
0.580000, 0.004368
0.620000, 0.004095
0.660000, 0.003916
0.700000, 0.003927
0.740000, 0.004053
0.780000, 0.003910
0.820000, 0.003709
0.860000, 0.003745
0.900000, 0.003559
0.940000, 0.003503
0.980000, 0.003304
1.020000, 0.003092
1.060000, 0.003073
1.100000, 0.003083
1.140000, 0.002845
1.180000, 0.002986
1.220000, 0.002961
1.260000, 0.002841
1.300000, 0.002813
1.340000, 0.002828
1.380000, 0.002785
1.420000, 0.002661
1.460000, 0.002563
1.500000, 0.002518
1.540000, 0.002618
1.580000, 0.002536
1.620000, 0.002523
1.660000, 0.002440
1.700000, 0.002486
1.740000, 0.002394
1.780000, 0.002506
1.820000, 0.002549
1.860000, 0.002392
1.900000, 0.002273
1.940000, 0.002288
1.980000, 0.002247
